"term","freq","freq.rel","freq.rel.100","freq.text.100"
"TEI",138,1,100,32.1678321678322
"XML",105,0.760869565217391,76.0869565217391,24.4755244755245
"R",84,0.608695652173913,60.8695652173913,19.5804195804196
"OA",65,0.471014492753623,47.1014492753623,15.1515151515152
"distant reading",53,0.384057971014493,38.4057971014493,12.3543123543124
"GitHub",50,0.36231884057971,36.231884057971,11.6550116550117
"API",47,0.340579710144928,34.0579710144928,10.955710955711
"ML",44,0.318840579710145,31.8840579710145,10.2564102564103
"GIS",43,0.311594202898551,31.1594202898551,10.02331002331
"NLP",40,0.289855072463768,28.9855072463768,9.32400932400932
"OCR",39,0.282608695652174,28.2608695652174,9.09090909090909
"RDF",36,0.260869565217391,26.0869565217391,8.39160839160839
"text mining",36,0.260869565217391,26.0869565217391,8.39160839160839
"Python",34,0.246376811594203,24.6376811594203,7.92540792540793
"Java",31,0.22463768115942,22.463768115942,7.22610722610723
"network analysis",30,0.217391304347826,21.7391304347826,6.99300699300699
"Topic Modeling",30,0.217391304347826,21.7391304347826,6.99300699300699
"JS",27,0.195652173913043,19.5652173913043,6.29370629370629
"NER",19,0.13768115942029,13.768115942029,4.42890442890443
"MySQL",18,0.130434782608696,13.0434782608696,4.1958041958042
"AI",17,0.123188405797101,12.3188405797101,3.96270396270396
"LOD",17,0.123188405797101,12.3188405797101,3.96270396270396
"PCA",17,0.123188405797101,12.3188405797101,3.96270396270396
"XSLT",17,0.123188405797101,12.3188405797101,3.96270396270396
"CSS",16,0.115942028985507,11.5942028985507,3.72960372960373
"Omeka",15,0.108695652173913,10.8695652173913,3.4965034965035
"LDA",12,0.0869565217391304,8.69565217391304,2.7972027972028
"P5",12,0.0869565217391304,8.69565217391304,2.7972027972028
"Voyant",12,0.0869565217391304,8.69565217391304,2.7972027972028
"IP",11,0.0797101449275362,7.97101449275362,2.56410256410256
"MARC",11,0.0797101449275362,7.97101449275362,2.56410256410256
"Pliny",11,0.0797101449275362,7.97101449275362,2.56410256410256
"SPARQL",10,0.072463768115942,7.2463768115942,2.33100233100233
"CSV",9,0.0652173913043478,6.52173913043478,2.0979020979021
"CTS",9,0.0652173913043478,6.52173913043478,2.0979020979021
"Drupal",9,0.0652173913043478,6.52173913043478,2.0979020979021
"P4",9,0.0652173913043478,6.52173913043478,2.0979020979021
"WWW",9,0.0652173913043478,6.52173913043478,2.0979020979021
"ArcGIS",8,0.0579710144927536,5.79710144927536,1.86480186480186
"DTD",8,0.0579710144927536,5.79710144927536,1.86480186480186
"JSON",8,0.0579710144927536,5.79710144927536,1.86480186480186
"Neural Networks",8,0.0579710144927536,5.79710144927536,1.86480186480186
"stylometry",8,0.0579710144927536,5.79710144927536,1.86480186480186
"TCP",8,0.0579710144927536,5.79710144927536,1.86480186480186
"Gephi",7,0.0507246376811594,5.07246376811594,1.63170163170163
"git",7,0.0507246376811594,5.07246376811594,1.63170163170163
"OWL",7,0.0507246376811594,5.07246376811594,1.63170163170163
"SQL",7,0.0507246376811594,5.07246376811594,1.63170163170163
"GUI",6,0.0434782608695652,4.34782608695652,1.3986013986014
"stylo()",6,0.0434782608695652,4.34782608695652,1.3986013986014
"Tableau",6,0.0434782608695652,4.34782608695652,1.3986013986014
"XQuery",6,0.0434782608695652,4.34782608695652,1.3986013986014
"XSL",6,0.0434782608695652,4.34782608695652,1.3986013986014
"AntConc",5,0.036231884057971,3.6231884057971,1.16550116550117
"DARIAH",5,0.036231884057971,3.6231884057971,1.16550116550117
"Levenshtein",5,0.036231884057971,3.6231884057971,1.16550116550117
"TextGrid",5,0.036231884057971,3.6231884057971,1.16550116550117
"HTTP",4,0.0289855072463768,2.89855072463768,0.932400932400932
"Juxta",4,0.0289855072463768,2.89855072463768,0.932400932400932
"OCRopus",4,0.0289855072463768,2.89855072463768,0.932400932400932
"P3",4,0.0289855072463768,2.89855072463768,0.932400932400932
"SPSS",4,0.0289855072463768,2.89855072463768,0.932400932400932
"XPath",4,0.0289855072463768,2.89855072463768,0.932400932400932
"CATMA",3,0.0217391304347826,2.17391304347826,0.699300699300699
"CLARIN",3,0.0217391304347826,2.17391304347826,0.699300699300699
"Image Markup Tool",3,0.0217391304347826,2.17391304347826,0.699300699300699
"MALLET",3,0.0217391304347826,2.17391304347826,0.699300699300699
"METS",3,0.0217391304347826,2.17391304347826,0.699300699300699
"MODS",3,0.0217391304347826,2.17391304347826,0.699300699300699
"SVG",3,0.0217391304347826,2.17391304347826,0.699300699300699
"ANNIS",2,0.0144927536231884,1.44927536231884,0.466200466200466
"Bash",2,0.0144927536231884,1.44927536231884,0.466200466200466
"CLARIAH",2,0.0144927536231884,1.44927536231884,0.466200466200466
"DOI",2,0.0144927536231884,1.44927536231884,0.466200466200466
"ggplot()",2,0.0144927536231884,1.44927536231884,0.466200466200466
"New Testament Virtual Manuscript Room",2,0.0144927536231884,1.44927536231884,0.466200466200466
"oXygen",2,0.0144927536231884,1.44927536231884,0.466200466200466
"PostgreSQL",2,0.0144927536231884,1.44927536231884,0.466200466200466
"Protégé",2,0.0144927536231884,1.44927536231884,0.466200466200466
"SALSAH",2,0.0144927536231884,1.44927536231884,0.466200466200466
"Scripto",2,0.0144927536231884,1.44927536231884,0.466200466200466
"SKOS",2,0.0144927536231884,1.44927536231884,0.466200466200466
"TUSTEP",2,0.0144927536231884,1.44927536231884,0.466200466200466
"Versioning Machine",2,0.0144927536231884,1.44927536231884,0.466200466200466
"Zooniverse",2,0.0144927536231884,1.44927536231884,0.466200466200466
