subject,label,tadirah.id,wd.deleted,wd.item
https://vocabs.dariah.eu/tadirah/spatialAnalysis,spatial analysis,spatialAnalysis,FALSE,Q1938983
https://vocabs.dariah.eu/tadirah/mindMapping,mindMapping,mindMapping,TRUE,Q98846887
https://vocabs.dariah.eu/tadirah/visualAnalysis,visualAnalysis,visualAnalysis,NA,NA
https://vocabs.dariah.eu/tadirah/imaging,imaging,imaging,FALSE,Q12713609
https://vocabs.dariah.eu/tadirah/videoCapture,videoCapture,videoCapture,FALSE,Q2778015
https://vocabs.dariah.eu/tadirah/concordance,concordance,concordance,FALSE,Q839018
https://vocabs.dariah.eu/tadirah/posting,posting,posting,FALSE,Q1453674
https://vocabs.dariah.eu/tadirah/compiling,compiling,compiling,FALSE,Q56248166
https://vocabs.dariah.eu/tadirah/searching,searching,searching,FALSE,Q11540953
https://vocabs.dariah.eu/tadirah/lettering,lettering,lettering,FALSE,Q5538738
https://vocabs.dariah.eu/tadirah/microblogging,microblogging,microblogging,FALSE,Q92438
https://vocabs.dariah.eu/tadirah/associating,associating,associating,TRUE,Q98847960
https://vocabs.dariah.eu/tadirah/extracting,Extracting,extracting,FALSE,Q91494455
https://vocabs.dariah.eu/tadirah/teaching,teaching,teaching,FALSE,Q352842
https://vocabs.dariah.eu/tadirah/relationalAnalysis,relationalAnalysis,relationalAnalysis,NA,NA
https://vocabs.dariah.eu/tadirah/description,description,description,FALSE,Q1200750
https://vocabs.dariah.eu/tadirah/distanceMeasures,distanceMeasures,distanceMeasures,FALSE,Q1344778
https://vocabs.dariah.eu/tadirah/photographing,photographing,photographing,FALSE,Q11633
https://vocabs.dariah.eu/tadirah/informationMining,informationMining,informationMining,TRUE,Q98847165
https://vocabs.dariah.eu/tadirah/parsing,parsing,parsing,FALSE,Q194152
https://vocabs.dariah.eu/tadirah/writing,writing,writing,FALSE,Q110484020
https://vocabs.dariah.eu/tadirah/opticalCharacterRecognition,opticalCharacterRecognition,opticalCharacterRecognition,FALSE,Q167555
https://vocabs.dariah.eu/tadirah/dataMapping,dataMapping,dataMapping,FALSE,Q2330408
https://vocabs.dariah.eu/tadirah/webDevelopment,web development,webDevelopment,FALSE,Q386275
https://vocabs.dariah.eu/tadirah/rhetoricalAnalysis,rhetoricalAnalysis,rhetoricalAnalysis,TRUE,Q98845926
https://vocabs.dariah.eu/tadirah/transcoding,transcoding,transcoding,FALSE,Q1888734
https://vocabs.dariah.eu/tadirah/preserving,preserving,preserving,NA,NA
https://vocabs.dariah.eu/tadirah/conceptualizing,conceptualization,conceptualizing,FALSE,Q17008777
https://vocabs.dariah.eu/tadirah/stylisticAnalysis,stylistic analysis,stylisticAnalysis,FALSE,Q11873636
https://vocabs.dariah.eu/tadirah/videoEditing,videoEditing,videoEditing,FALSE,Q1154312
https://vocabs.dariah.eu/tadirah/migration,migration,migration,FALSE,Q1932543
https://vocabs.dariah.eu/tadirah/gamification,gamification,gamification,FALSE,Q1067402
https://vocabs.dariah.eu/tadirah/correcting,correcting,correcting,TRUE,Q98848041
https://vocabs.dariah.eu/tadirah/sequenceAlignment,sequenceAlignment,sequenceAlignment,FALSE,Q827246
https://vocabs.dariah.eu/tadirah/instantMessaging,instantMessaging,instantMessaging,FALSE,Q58199
https://vocabs.dariah.eu/tadirah/digitalObjectIdentifier,digitalObjectIdentifier,digitalObjectIdentifier,FALSE,Q25670
https://vocabs.dariah.eu/tadirah/opticalMusicRecognition,opticalMusicRecognition,opticalMusicRecognition,FALSE,Q1243229
https://vocabs.dariah.eu/tadirah/screencast,screencast,screencast,FALSE,Q1365447
https://vocabs.dariah.eu/tadirah/collaborating,collaborating,collaborating,NA,NA
https://vocabs.dariah.eu/tadirah/designing,designing,designing,NA,NA
https://vocabs.dariah.eu/tadirah/exploration,exploration,exploration,FALSE,Q6502154
https://vocabs.dariah.eu/tadirah/modeling,scientific modeling,modeling,FALSE,Q1116876
https://vocabs.dariah.eu/tadirah/transformation,transformation,transformation,FALSE,Q65757353
https://vocabs.dariah.eu/tadirah/archiving,archiving,archiving,FALSE,Q10418049
