"term","freq","freq.rel","freq.rel.100","freq.text.100"
"Internet",15,1,100,15.7894736842105
"XML",8,0.533333333333333,53.3333333333333,8.42105263157895
"TEI",5,0.333333333333333,33.3333333333333,5.26315789473684
"GIS",4,0.266666666666667,26.6666666666667,4.21052631578947
"LOD",3,0.2,20,3.15789473684211
"OA",3,0.2,20,3.15789473684211
"NER",2,0.133333333333333,13.3333333333333,2.10526315789474
"OCR",2,0.133333333333333,13.3333333333333,2.10526315789474
"SKOS",2,0.133333333333333,13.3333333333333,2.10526315789474
"CSV",1,0.0666666666666667,6.66666666666667,1.05263157894737
"digiCULT",1,0.0666666666666667,6.66666666666667,1.05263157894737
"distant reading",1,0.0666666666666667,6.66666666666667,1.05263157894737
"DOI",1,0.0666666666666667,6.66666666666667,1.05263157894737
"FAIR",1,0.0666666666666667,6.66666666666667,1.05263157894737
"IIIF",1,0.0666666666666667,6.66666666666667,1.05263157894737
"Omeka",1,0.0666666666666667,6.66666666666667,1.05263157894737
"R",1,0.0666666666666667,6.66666666666667,1.05263157894737
"RDF",1,0.0666666666666667,6.66666666666667,1.05263157894737
"SPSS",1,0.0666666666666667,6.66666666666667,1.05263157894737
"Transkribus",1,0.0666666666666667,6.66666666666667,1.05263157894737
"TUSTEP",1,0.0666666666666667,6.66666666666667,1.05263157894737
"Voyant",1,0.0666666666666667,6.66666666666667,1.05263157894737
