"id","tgn_id","pref_name"
"104","http://vocab.getty.edu/tgn/7001168","Holy See"
"105","http://vocab.getty.edu/tgn/1000140","Syria"
"106","http://vocab.getty.edu/tgn/7006417","Albania"
"107","http://vocab.getty.edu/tgn/7011765","Slovakia"
"108","http://vocab.getty.edu/tgn/7003703","Timor-Leste"
"109","http://vocab.getty.edu/tgn/7014835","Tajikistan"
"110","http://vocab.getty.edu/tgn/7006659","Turkmenistan"
"111","http://vocab.getty.edu/tgn/1000131","Oman"
"112","http://vocab.getty.edu/tgn/1000145","Viet Nam"
"113","http://vocab.getty.edu/tgn/7669106","Navajo Nation"
"114","http://vocab.getty.edu/tgn/7005668","Palau"
"115","http://vocab.getty.edu/tgn/7016612","Afghanistan"
"116","http://vocab.getty.edu/tgn/1000009","Antigua and Barbuda"
"117","http://vocab.getty.edu/tgn/1000220","Federated States of Micronesia"
"118","http://vocab.getty.edu/tgn/7000493","Fiji"
"119","http://vocab.getty.edu/tgn/7016770","Bahrain"
"120","http://vocab.getty.edu/tgn/7016752","Algeria"
"121","http://vocab.getty.edu/tgn/1000143","United Arab Emirates"
"122","http://vocab.getty.edu/tgn/1000061","Andorra"
"123","http://vocab.getty.edu/tgn/7005332","Bahamas"
"124","http://vocab.getty.edu/tgn/1000118","Iraq"
"125","http://vocab.getty.edu/tgn/7004770","Barbados"
"126","http://vocab.getty.edu/tgn/1000179","Morocco"
"127","http://vocab.getty.edu/tgn/1000217","Kiribati"
"128","http://vocab.getty.edu/tgn/1000124","Kuwait"
"129","http://vocab.getty.edu/tgn/1000149","Angola"
"130","http://vocab.getty.edu/tgn/7005346","Belize"
"131","http://vocab.getty.edu/tgn/1000121","Jordan"
"132","http://vocab.getty.edu/tgn/7016730","Marshall Islands"
"133","http://vocab.getty.edu/tgn/7000261","Yemen"
"134","http://vocab.getty.edu/tgn/1000201","Sudan"
"135","http://vocab.getty.edu/tgn/7006158","Nauru"
"136","http://vocab.getty.edu/tgn/1000046","Bolivia"
"137","http://vocab.getty.edu/tgn/7006160","Papua New Guinea"
"138","http://vocab.getty.edu/tgn/1000049","Chile"
"139","http://vocab.getty.edu/tgn/1000239","Samoa"
"140","http://vocab.getty.edu/tgn/1000233","Solomon Islands"
"141","http://vocab.getty.edu/tgn/7000529","Tonga"
"142","http://vocab.getty.edu/tgn/1000236","Tuvalu"
"143","http://vocab.getty.edu/tgn/1000137","Saudi Arabia"
"144","http://vocab.getty.edu/tgn/1000225","Vanuatu"
"145","http://vocab.getty.edu/tgn/1000051","Ecuador"
"146","http://vocab.getty.edu/tgn/7006646","Azerbaijan"
"147","http://vocab.getty.edu/tgn/7006657","Belarus"
"148","http://vocab.getty.edu/tgn/1000160","Benin"
"149","http://vocab.getty.edu/tgn/7005364","Costa Rica"
"150","http://vocab.getty.edu/tgn/7006664","Bosnia and Herzegovina"
"151","http://vocab.getty.edu/tgn/1000150","Botswana"
"152","http://vocab.getty.edu/tgn/1000054","Guyana"
"153","http://vocab.getty.edu/tgn/7004641","Dominica"
"154","http://vocab.getty.edu/tgn/7005441","El Salvador"
"155","http://vocab.getty.edu/tgn/1000208","Burkina Faso"
"156","http://vocab.getty.edu/tgn/7001630","Burundi"
"157","http://vocab.getty.edu/tgn/7001632","Cape Verde"
"158","http://vocab.getty.edu/tgn/1000153","Cameroon"
"159","http://vocab.getty.edu/tgn/1000107","Brunei Darussalam"
"160","http://vocab.getty.edu/tgn/1000157","Comoros"
"161","http://vocab.getty.edu/tgn/1000158","Congo (Republic of)"
"162","http://vocab.getty.edu/tgn/7004771","Grenada"
"163","http://vocab.getty.edu/tgn/1000159","Democratic Republic of the Congo"
"164","http://vocab.getty.edu/tgn/7005493","Guatemala"
"165","http://vocab.getty.edu/tgn/1000168","Côte d'Ivoire"
"166","http://vocab.getty.edu/tgn/7005502","Haiti"
"167","http://vocab.getty.edu/tgn/7015657","Montenegro"
"168","http://vocab.getty.edu/tgn/1000122","North Korea"
"169","http://vocab.getty.edu/tgn/7005554","Honduras"
"170","http://vocab.getty.edu/tgn/7005556","Jamaica"
"171","http://vocab.getty.edu/tgn/1000055","Paraguay"
"172","http://vocab.getty.edu/tgn/7000331","Maldives"
"173","http://vocab.getty.edu/tgn/7014831","Bhutan"
"174","http://vocab.getty.edu/tgn/1000164","Gabon"
"175","http://vocab.getty.edu/tgn/1000165","The Gambia"
"176","http://vocab.getty.edu/tgn/1000166","Ghana"
"177","http://vocab.getty.edu/tgn/7015386","Suriname"
"178","http://vocab.getty.edu/tgn/1000161","Equatorial Guinea"
"179","http://vocab.getty.edu/tgn/1000183","Guinea-Bissau"
"180","http://vocab.getty.edu/tgn/1000167","Guinea"
"181","http://vocab.getty.edu/tgn/7005562","Nicaragua"
"182","http://vocab.getty.edu/tgn/7001658","Eritrea"
"183","http://vocab.getty.edu/tgn/7006651","Armenia"
"184","http://vocab.getty.edu/tgn/7000489","Ethiopia"
"185","http://vocab.getty.edu/tgn/1000059","Venezuela"
"186","http://vocab.getty.edu/tgn/7001644","Djibouti"
"187","http://vocab.getty.edu/tgn/7005565","Panama"
"188","http://vocab.getty.edu/tgn/1000169","Kenya"
"189","http://vocab.getty.edu/tgn/7005388","Dominican Republic"
"190","http://vocab.getty.edu/tgn/1000109","Cambodia"
"191","http://vocab.getty.edu/tgn/7001660","Lesotho"
"192","http://vocab.getty.edu/tgn/1000171","Liberia"
"193","http://vocab.getty.edu/tgn/1000172","Libya"
"194","http://vocab.getty.edu/tgn/7005605","Saint Kitts and Nevis"
"195","http://vocab.getty.edu/tgn/7004772","Saint Lucia"
"196","http://vocab.getty.edu/tgn/7004773","Saint Vincent and the Grenadines"
"197","http://vocab.getty.edu/tgn/1000173","Madagascar"
"198","http://vocab.getty.edu/tgn/7000726","Malawi"
"199","http://vocab.getty.edu/tgn/1000175","Mali"
"200","http://vocab.getty.edu/tgn/7006655","Kyrgyzstan"
"201","http://vocab.getty.edu/tgn/1000177","Mauritius"
"202","http://vocab.getty.edu/tgn/7004787","Trinidad and Tobago"
"203","http://vocab.getty.edu/tgn/7003515","Liechtenstein"
"204","http://vocab.getty.edu/tgn/7016833","Egypt"
"205","http://vocab.getty.edu/tgn/1000180","Mozambique"
"206","http://vocab.getty.edu/tgn/1000176","Mauritania"
