"id","label","persistentId","source.label","sourceItemId","source.urlTemplate","concept.vocabulary.code","concept.code","concept.uri"
44376,"Academia.edu","y2dwph","TAPoR","1144","http://tapor.ca/tools/{source-item-id}","tadirah2","gathering","https://vocabs.dariah.eu/tadirah/gathering"
44376,"Academia.edu","y2dwph","TAPoR","1144","http://tapor.ca/tools/{source-item-id}","tadirah2","communicating","https://vocabs.dariah.eu/tadirah/communicating"
44376,"Academia.edu","y2dwph","TAPoR","1144","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44376,"Academia.edu","y2dwph","TAPoR","1144","http://tapor.ca/tools/{source-item-id}","tadirah2","disseminating","https://vocabs.dariah.eu/tadirah/disseminating"
44376,"Academia.edu","y2dwph","TAPoR","1144","http://tapor.ca/tools/{source-item-id}","tadirah2","sharing","https://vocabs.dariah.eu/tadirah/sharing"
44377,"ACERR - The Arts and Culture in Education Research Repository for Ireland","lgyrt9",NA,NA,NA,"tadirah2","teaching","https://vocabs.dariah.eu/tadirah/teaching"
44377,"ACERR - The Arts and Culture in Education Research Repository for Ireland","lgyrt9",NA,NA,NA,"tadirah2","discourseAnalysis","https://vocabs.dariah.eu/tadirah/discourseAnalysis"
44377,"ACERR - The Arts and Culture in Education Research Repository for Ireland","lgyrt9",NA,NA,NA,"tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
44377,"ACERR - The Arts and Culture in Education Research Repository for Ireland","lgyrt9",NA,NA,NA,"tadirah2","writing","https://vocabs.dariah.eu/tadirah/writing"
44377,"ACERR - The Arts and Culture in Education Research Repository for Ireland","lgyrt9",NA,NA,NA,"tadirah2","storing","https://vocabs.dariah.eu/tadirah/storing"
44379,"Active Server Pages (ASP)","j8MRN1","TAPoR","784","http://tapor.ca/tools/{source-item-id}","tadirah2","publishing","https://vocabs.dariah.eu/tadirah/publishing"
44379,"Active Server Pages (ASP)","j8MRN1","TAPoR","784","http://tapor.ca/tools/{source-item-id}","tadirah2","publishing","https://vocabs.dariah.eu/tadirah/publishing"
44379,"Active Server Pages (ASP)","j8MRN1","TAPoR","784","http://tapor.ca/tools/{source-item-id}","tadirah2","webDevelopment","https://vocabs.dariah.eu/tadirah/webDevelopment"
44379,"Active Server Pages (ASP)","j8MRN1","TAPoR","784","http://tapor.ca/tools/{source-item-id}","tadirah2","webDevelopment","https://vocabs.dariah.eu/tadirah/webDevelopment"
44380,"Adlib Archive","S31g4F","TAPoR","781","http://tapor.ca/tools/{source-item-id}","tadirah2","publishing","https://vocabs.dariah.eu/tadirah/publishing"
44380,"Adlib Archive","S31g4F","TAPoR","781","http://tapor.ca/tools/{source-item-id}","tadirah2","publishing","https://vocabs.dariah.eu/tadirah/publishing"
28724,"Adobe Acrobat Distiller","KdAfc6","TAPoR","782","http://tapor.ca/tools/{source-item-id}","tadirah2","enriching","https://vocabs.dariah.eu/tadirah/enriching"
44381,"Adobe Bridge","Tpi8KE","TAPoR","1214","http://tapor.ca/tools/{source-item-id}","tadirah2","imaging","https://vocabs.dariah.eu/tadirah/imaging"
44381,"Adobe Bridge","Tpi8KE","TAPoR","1214","http://tapor.ca/tools/{source-item-id}","tadirah2","designing","https://vocabs.dariah.eu/tadirah/designing"
44382,"Adobe Dreamweaver","6ssOMC","TAPoR","1250","http://tapor.ca/tools/{source-item-id}","tadirah2","webDevelopment","https://vocabs.dariah.eu/tadirah/webDevelopment"
44382,"Adobe Dreamweaver","6ssOMC","TAPoR","1250","http://tapor.ca/tools/{source-item-id}","tadirah2","webDevelopment","https://vocabs.dariah.eu/tadirah/webDevelopment"
44382,"Adobe Dreamweaver","6ssOMC","TAPoR","1250","http://tapor.ca/tools/{source-item-id}","tadirah2","designing","https://vocabs.dariah.eu/tadirah/designing"
44383,"Adobe Illustrator","usExJA","TAPoR","1215","http://tapor.ca/tools/{source-item-id}","tadirah2","designing","https://vocabs.dariah.eu/tadirah/designing"
44384,"Adobe InDesign","aeQ2f6","TAPoR","1216","http://tapor.ca/tools/{source-item-id}","tadirah2","designing","https://vocabs.dariah.eu/tadirah/designing"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","visualAnalysis","https://vocabs.dariah.eu/tadirah/visualAnalysis"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","collaborating","https://vocabs.dariah.eu/tadirah/collaborating"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","collaborating","https://vocabs.dariah.eu/tadirah/collaborating"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","annotating","https://vocabs.dariah.eu/tadirah/annotating"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","sharing","https://vocabs.dariah.eu/tadirah/sharing"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","annotating","https://vocabs.dariah.eu/tadirah/annotating"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","annotating","https://vocabs.dariah.eu/tadirah/annotating"
44389,"Advene","RY4LgT","TAPoR","940","http://tapor.ca/tools/{source-item-id}","tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
28106,"Aelfred","57QHiH","TAPoR","780","http://tapor.ca/tools/{source-item-id}","tadirah2","programming","https://vocabs.dariah.eu/tadirah/programming"
44390,"Aeon Timeline","foI8Mi","TAPoR","874","http://tapor.ca/tools/{source-item-id}","tadirah2","dataVisualization","https://vocabs.dariah.eu/tadirah/dataVisualization"
