"ssh.id" "ssh.label" "tadirah.id" "tadirah.uri" "wd.tadirahid" "wd.label" "tapor.id" "tapor.label" "tapor.desc" "wd.item"
"15" "gpYKo6" "ABBYY FineReader" "scanning" "https://vocabs.dariah.eu/tadirah/scanning" "Q59155052" "scanning" "1389" "FineReader PDF" "An (optical character recognition) engine for creating editable and searchable electronic files from scanned paper documents, PDFs and digital photographs.Features:Recognition of Digital Camera and Mobile Phone Camera ImagesComprehensive Language SupportComplete Integration with Popular Office ApplicationsPDF conversion, archiving and security" "Q1416880"
"16" "gpYKo6" "ABBYY FineReader" "transcribing" "https://vocabs.dariah.eu/tadirah/transcribing" "Q207714" "transcribing" "1389" "FineReader PDF" "An (optical character recognition) engine for creating editable and searchable electronic files from scanned paper documents, PDFs and digital photographs.Features:Recognition of Digital Camera and Mobile Phone Camera ImagesComprehensive Language SupportComplete Integration with Popular Office ApplicationsPDF conversion, archiving and security" "Q1416880"
"17" "gpYKo6" "ABBYY FineReader" "dataRecognition" "https://vocabs.dariah.eu/tadirah/dataRecognition" "Q123783455" "dataRecognition" "1389" "FineReader PDF" "An (optical character recognition) engine for creating editable and searchable electronic files from scanned paper documents, PDFs and digital photographs.Features:Recognition of Digital Camera and Mobile Phone Camera ImagesComprehensive Language SupportComplete Integration with Popular Office ApplicationsPDF conversion, archiving and security" "Q1416880"
"18" "LtXDGc" "ABFREQ" "analyzing" "https://vocabs.dariah.eu/tadirah/analyzing" "Q217602" "analyzing" "424" "ABFREQ" "ABFREQ was a tool for identifying key words within a text developed in the 1980s. It identified key words by comparing thier frequency within the user's text to the frequency of the same words in a control corpus." NA
"19" "y2dwph" "Academia.edu" "capturing" "https://vocabs.dariah.eu/tadirah/capturing" "Q123819225" "capturing" "1144" "academia.edu" "Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments." "Q2777905"
"20" "y2dwph" "Academia.edu" "collaborating" "https://vocabs.dariah.eu/tadirah/collaborating" "Q1145523" "collaborating" "1144" "academia.edu" "Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments." "Q2777905"
"21" "y2dwph" "Academia.edu" "discovering" "https://vocabs.dariah.eu/tadirah/discovering" "Q12772819" "discovering" "1144" "academia.edu" "Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments." "Q2777905"
"22" "y2dwph" "Academia.edu" "publishing" "https://vocabs.dariah.eu/tadirah/publishing" "Q3972943" "publishing" "1144" "academia.edu" "Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments." "Q2777905"
"23" "y2dwph" "Academia.edu" "gathering" "https://vocabs.dariah.eu/tadirah/gathering" "Q123751128" "gathering" "1144" "academia.edu" "Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments." "Q2777905"
"24" "y2dwph" "Academia.edu" "communicating" "https://vocabs.dariah.eu/tadirah/communicating" "Q11024" "communicating" "1144" "academia.edu" "Academia.edu is a social platform that allows academics to share research papers, gray literature, reviews and other scholarly materials. The site provides user statistics on the number and geographic origin of profile and document views. Academic affiliation is displayed in a tree-like format, grouped by universities and departments." "Q2777905"
