"ssh.id","ssh.label","tapor.id","wd.item","wd.item.tadirah","tadirah.uri"
"59","foI8Mi","Aeon Timeline","874",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"60","5A70DH","Afloat","1439",NA,"Q11024","https://vocabs.dariah.eu/tadirah/communicating"
"61","2zIseh","A-frame","1598","Q28135597","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"62","2zIseh","A-frame","1598","Q28135597","Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"63","2zIseh","A-frame","1598","Q28135597","Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"64","2zIseh","A-frame","1598","Q28135597","Q12713609","https://vocabs.dariah.eu/tadirah/imaging"
"65","2zIseh","A-frame","1598","Q28135597","Q386275","https://vocabs.dariah.eu/tadirah/webDevelopment"
"66","isedTr","Agisoft Metashape",NA,NA,"Q123819225","https://vocabs.dariah.eu/tadirah/capturing"
"67","isedTr","Agisoft Metashape",NA,NA,"Q1938983","https://vocabs.dariah.eu/tadirah/spatialAnalysis"
"68","isedTr","Agisoft Metashape",NA,NA,"Q123750937","https://vocabs.dariah.eu/tadirah/enriching"
"69","isedTr","Agisoft Metashape",NA,NA,"Q194105","https://vocabs.dariah.eu/tadirah/editing"
"70","isedTr","Agisoft Metashape",NA,NA,"Q12713609","https://vocabs.dariah.eu/tadirah/imaging"
"71","knCcCv","Aïoli platform",NA,NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"72","HRUmqc","A JavaScript library for rendering music notation and guitar tablature.: 0xfe/vexflow",NA,NA,NA,NA
"73","bbGlRd","Alfresco","1635","Q946976","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"74","bbGlRd","Alfresco","1635","Q946976","Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"75","bbGlRd","Alfresco","1635","Q946976","Q10418049","https://vocabs.dariah.eu/tadirah/archiving"
"76","bbGlRd","Alfresco","1635","Q946976","Q123783460","https://vocabs.dariah.eu/tadirah/commenting"
"77","bbGlRd","Alfresco","1635","Q946976","Q36993249","https://vocabs.dariah.eu/tadirah/organizing"
"78","bbGlRd","Alfresco","1635","Q946976","Q459221","https://vocabs.dariah.eu/tadirah/sharing"
"79","bbGlRd","Alfresco","1635","Q946976","Q123819222","https://vocabs.dariah.eu/tadirah/storing"
"80","YKv47J","ALGOL","487","Q188436","Q80006","https://vocabs.dariah.eu/tadirah/programming"
"81","YKv47J","ALGOL","487","Q188436","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
"82","7otnya","All Our Ideas","1029",NA,"Q6504956","https://vocabs.dariah.eu/tadirah/dataVisualization"
"83","7otnya","All Our Ideas","1029",NA,"Q217602","https://vocabs.dariah.eu/tadirah/analyzing"
"84","7otnya","All Our Ideas","1029",NA,"Q95832426","https://vocabs.dariah.eu/tadirah/visualAnalysis"
"85","7otnya","All Our Ideas","1029",NA,"Q1145523","https://vocabs.dariah.eu/tadirah/collaborating"
"86","7otnya","All Our Ideas","1029",NA,"Q123819226","https://vocabs.dariah.eu/tadirah/disseminating"
"87","7otnya","All Our Ideas","1029",NA,"Q275969","https://vocabs.dariah.eu/tadirah/crowdsourcing"
"88","AB57Ny","aLTAG3D - a Long Term Archive Generator for 3D",NA,NA,NA,NA
"89","4UtwMD","Alteryx","1633","Q73883753","Q123819227","https://vocabs.dariah.eu/tadirah/creating"
