"wd.item","tapor.id","ssh.id","wd.tadirahid","tadirah.id"
"Q6955723","242","E63PlZ","Q4417999","networkAnalysis"
"Q6955723","242","E63PlZ","Q6504956","dataVisualization"
"Q6955723","242","E63PlZ","Q217602","analyzing"
"Q6955723","242","E63PlZ","Q95832426","visualAnalysis"
"Q6955723","242","E63PlZ","Q653137","contentAnalysis"
"Q6955723","242","E63PlZ","Q123750937","enriching"
"Q6955723","242","E63PlZ","Q123751128","gathering"
"Q6955723","242","E63PlZ","Q857525","annotating"
"Q110062176","815","sbrHel","Q6504956","dataVisualization"
"Q110062176","815","sbrHel","Q12772819","discovering"
"Q110062176","815","sbrHel","Q123751128","gathering"
"Q98732070","1447","QGsf6v","Q3972943","publishing"
"Q98732070","1447","QGsf6v","Q857525","annotating"
"Q98732070","1447","QGsf6v","Q36993249","organizing"
"Q98732070","1447","QGsf6v","Q459221","sharing"
"Q1074892","1010","ovao3B","Q123819227","creating"
"Q1074892","1010","ovao3B","Q1116876","modeling"
"Q1074892","1010","ovao3B","Q6504956","dataVisualization"
"Q1074892","1010","ovao3B","Q217602","analyzing"
"Q1074892","1010","ovao3B","Q95832426","visualAnalysis"
"Q1074892","1010","ovao3B","Q15756478","interpreting"
"Q1074892","1010","ovao3B","Q123783459","designing"
"Q3227436","1213","3QBtXR","Q59155052","scanning"
"Q706480","1104","m1HRMn","Q123819227","creating"
"Q706480","1104","m1HRMn","Q1145523","collaborating"
"Q706480","1104","m1HRMn","Q123750937","enriching"
"Q706480","1104","m1HRMn","Q857525","annotating"
"Q706480","1104","m1HRMn","Q123819226","disseminating"
"Q706480","1104","m1HRMn","Q36993249","organizing"
"Q706480","1104","m1HRMn","Q123819222","storing"
"Q706480","1104","m1HRMn","Q110484020","writing"
"Q6051240","1420","MHE8cr","Q3972943","publishing"
"Q6051240","1420","MHE8cr","Q11024","communicating"
"Q6051240","1420","MHE8cr","Q386275","webDevelopment"
"Q1710177","1422","4g9hEL","Q3972943","publishing"
"Q1710177","1422","4g9hEL","Q194105","editing"
"Q1710177","1422","4g9hEL","Q123819226","disseminating"
"Q736666","1452","aQjhJk","Q6504956","dataVisualization"
"Q736666","1452","aQjhJk","Q95832426","visualAnalysis"
"Q736666","1452","aQjhJk","Q386275","webDevelopment"
"Q511977","1166","y9sDZE","Q110484020","writing"
"Q5583871","296","hpBfcf","Q123750937","enriching"
"Q5583871","296","hpBfcf","Q194105","editing"
"Q5583871","296","hpBfcf","Q1172378","dataCleansing"
"Q5583871","296","hpBfcf","Q65757353","transformation"
"Q18691678","742","ROkULj","Q1145523","collaborating"
"Q18691678","742","ROkULj","Q12772819","discovering"
"Q18691678","742","ROkULj","Q3972943","publishing"
"Q18691678","742","ROkULj","Q123751128","gathering"
"Q18691678","742","ROkULj","Q857525","annotating"
"Q18691678","742","ROkULj","Q10418049","archiving"
"Q18691678","742","ROkULj","Q123783460","commenting"
"Q18691678","742","ROkULj","Q11024","communicating"
"Q18691678","742","ROkULj","Q36993249","organizing"
"Q18691678","742","ROkULj","Q459221","sharing"
"Q18691678","742","ROkULj","Q275969","crowdsourcing"
"Q18691678","742","ROkULj","Q110484020","writing"
"Q185524","1256","k6eli4","Q36993249","organizing"
"Q185524","1256","k6eli4","Q123819222","storing"
"Q185524","1256","k6eli4","Q3265221","identifying"
"Q17073327","752","byDok8","Q3972943","publishing"
"Q17073327","752","byDok8","Q857525","annotating"
"Q17073327","752","byDok8","Q36993249","organizing"
"Q17073327","752","byDok8","Q459221","sharing"
"Q17073327","752","byDok8","Q207714","transcribing"
"Q107035658","1550","eK6BsM","Q123819225","capturing"
"Q107035658","1550","eK6BsM","Q123819227","creating"
"Q107035658","1550","eK6BsM","Q857525","annotating"
"Q107035658","1550","eK6BsM","Q207714","transcribing"
"Q107035658","1550","eK6BsM","Q123783455","dataRecognition"
"Q7109499","1184","7fuSWb","Q3265221","identifying"
"Q24589709","631","Vz1eJ6","Q123819225","capturing"
"Q24589709","631","Vz1eJ6","Q123751128","gathering"
"Q27991271","859","GWdwAy","Q3972943","publishing"
"Q27991271","859","GWdwAy","Q459221","sharing"
"Q27991271","859","GWdwAy","Q110484020","writing"
"Q27991271","859","GWdwAy","Q194105","editing"
"Q7115951","1375","SgzA8y","Q123819227","creating"
"Q7115951","1375","SgzA8y","Q80006","programming"
"Q7115951","1375","SgzA8y","Q123750937","enriching"
"Q7115951","1375","SgzA8y","Q194105","editing"
"Q7115951","1375","SgzA8y","Q194152","parsing"
"Q96075529","382","3Zv4xY","Q6504956","dataVisualization"
"Q96075529","382","3Zv4xY","Q217602","analyzing"
